Location Names,lahn_1,dill,lahn_2,lahn_3,lahn_4
Location Ids,lahn_1,dill,lahn_2,lahn_3,lahn_4
Time,P.if,P.if,P.if,P.if,P.if
2008-01-01 01:00:00,0,0,0,0,0
2008-01-01 02:00:00,0,0,0,0,0
2008-01-01 03:00:00,0,0,0,0,0
2008-01-01 04:00:00,0,0,0,0,0
2008-01-01 05:00:00,0,0,0,0,0
2008-01-01 06:00:00,0,0,0,0,0
2008-01-01 07:00:00,0,0,0,0,0
2008-01-01 08:00:00,0,0,0,0,0
2008-01-01 09:00:00,0,0.01,0.06,0,0
2008-01-01 10:00:00,0,0.01,0,0,0
2008-01-01 11:00:00,0,0.01,0,0,0
2008-01-01 12:00:00,0,0,0,0,0
2008-01-01 13:00:00,0,0,0,0,0
2008-01-01 14:00:00,0,0,0,0,0
2008-01-01 15:00:00,0,0,0,0,0
2008-01-01 16:00:00,0,0,0,0,0
2008-01-01 17:00:00,0,0,0,0,0
2008-01-01 18:00:00,0,0,0,0,0
2008-01-01 19:00:00,0,0,0,0,0
2008-01-01 20:00:00,0,0,0,0,0
2008-01-01 21:00:00,0,0,0,0,0
2008-01-01 22:00:00,0,0,0,0,0
2008-01-01 23:00:00,0,0,0,0,0
2008-01-02 00:00:00,0,0,0,0,0
2008-01-02 01:00:00,0,0,0,0,0
2008-01-02 02:00:00,0,0,0,0,0
2008-01-02 03:00:00,0,0,0,0,0
2008-01-02 04:00:00,0,0,0,0,0
2008-01-02 05:00:00,0,0,0,0,0
2008-01-02 06:00:00,0,0,0,0,0
2008-01-02 07:00:00,0,0,0,0,0
2008-01-02 08:00:00,0,0,0,0,0
2008-01-02 09:00:00,0,0,0,0,0
2008-01-02 10:00:00,0,0,0,0,0
2008-01-02 11:00:00,0,0,0,0,0
2008-01-02 12:00:00,0,0,0,0,0
2008-01-02 13:00:00,0,0,0,0,0
2008-01-02 14:00:00,0,0,0,0,0
2008-01-02 15:00:00,0,0,0,0,0
2008-01-02 16:00:00,0,0,0,0,0
2008-01-02 17:00:00,0,0,0,0,0
2008-01-02 18:00:00,0,0,0,0,0
2008-01-02 19:00:00,0,0,0,0,0
2008-01-02 20:00:00,0,0,0,0,0
2008-01-02 21:00:00,0,0,0,0,0
2008-01-02 22:00:00,0,0,0,0,0
2008-01-02 23:00:00,0,0,0,0,0
2008-01-03 00:00:00,0,0,0,0,0
2008-01-03 01:00:00,0,0,0,0,0
2008-01-03 02:00:00,0,0,0,0,0
2008-01-03 03:00:00,0,0,0,0,0
2008-01-03 04:00:00,0,0,0,0,0
2008-01-03 05:00:00,0,0,0,0,0
2008-01-03 06:00:00,0,0,0,0,0
2008-01-03 07:00:00,0,0,0,0,0
2008-01-03 08:00:00,0,0,0,0,0
2008-01-03 09:00:00,0,0,0,0,0
2008-01-03 10:00:00,0,0,0,0,0
2008-01-03 11:00:00,0,0,0,0,0
2008-01-03 12:00:00,0,0,0,0,0
2008-01-03 13:00:00,0,0,0,0,0
2008-01-03 14:00:00,0,0,0,0,0
2008-01-03 15:00:00,0,0,0,0,0
2008-01-03 16:00:00,0,0,0,0,0
2008-01-03 17:00:00,0,0,0,0,0.02
2008-01-03 18:00:00,0,0,0,0,0.01
2008-01-03 19:00:00,0,0,0,0,0
2008-01-03 20:00:00,0,0,0,0,0.02
2008-01-03 21:00:00,0,0,0,0,0
2008-01-03 22:00:00,0,0,0,0,0
2008-01-03 23:00:00,0,0,0,0,0
2008-01-04 00:00:00,0,0,0,0,0
2008-01-04 01:00:00,0,0,0,0,0
2008-01-04 02:00:00,0,0,0,0,0
2008-01-04 03:00:00,0,0,0,0,0
2008-01-04 04:00:00,0,0,0,0,0
2008-01-04 05:00:00,0,0,0,0,0
2008-01-04 06:00:00,0,0,0,0,0
2008-01-04 07:00:00,0,0,0,0,0
2008-01-04 08:00:00,0,0,0,0,0
2008-01-04 09:00:00,0,0,0,0,0
2008-01-04 10:00:00,0,0,0,0,0
2008-01-04 11:00:00,0,0,0,0,0
2008-01-04 12:00:00,0,0,0,0,0
2008-01-04 13:00:00,0,0,0,0,0
2008-01-04 14:00:00,0,0,0,0,0
2008-01-04 15:00:00,0,0,0,0,0
2008-01-04 16:00:00,0,0,0,0,0
2008-01-04 17:00:00,0,0,0,0,0
2008-01-04 18:00:00,0,0,0,0,0
2008-01-04 19:00:00,0,0.01,0,0.01,0.02
2008-01-04 20:00:00,0,0.08,0.01,0,0.03
2008-01-04 21:00:00,0.02,0.05,0.08,0.46,0.12
2008-01-04 22:00:00,0.19,0.1,0.19,0.01,0
2008-01-04 23:00:00,0,0.01,0.01,0,0
2008-01-05 00:00:00,0,0,0,0,0
2008-01-05 01:00:00,0,0,0,0,0
2008-01-05 02:00:00,0,0,0,0,0
2008-01-05 03:00:00,0,0,0,0,0
2008-01-05 04:00:00,0,0,0,0,0.06
2008-01-05 05:00:00,0,0,0,0,0.09
2008-01-05 06:00:00,0,0,0,0,0
2008-01-05 07:00:00,0,0,0,0.02,0.06
2008-01-05 08:00:00,0.03,0.29,0.04,0,0.24
2008-01-05 09:00:00,0.73,1.64,0.77,1,1.49
2008-01-05 10:00:00,2.57,1.85,1.82,0.39,0.33
2008-01-05 11:00:00,1.89,0.64,0.92,0.22,0.44
2008-01-05 12:00:00,1.21,0.96,1.12,0.16,0.01
2008-01-05 13:00:00,0.35,0.23,0.14,0.01,0.03
2008-01-05 14:00:00,0,0.03,0.14,0.22,0
2008-01-05 15:00:00,0.16,0.64,0.17,0.06,0.03
2008-01-05 16:00:00,0.4,0.05,0.07,0,0.11
2008-01-05 17:00:00,0,0.05,0.01,0.11,0.05
2008-01-05 18:00:00,0,0,0,0.02,0.01
2008-01-05 19:00:00,0.02,0.02,0.01,0.02,0.06
2008-01-05 20:00:00,0.02,0.02,0.01,0,0.01
2008-01-05 21:00:00,0.02,0.09,0.15,0.44,0.15
2008-01-05 22:00:00,0.02,0.51,0.31,0.05,0.23
2008-01-05 23:00:00,0.48,0.59,0.76,0.87,0.5
2008-01-06 00:00:00,0.35,0.6,0.49,0.08,0.09
2008-01-06 01:00:00,0.57,0.48,0.49,0.26,0.35
2008-01-06 02:00:00,0.94,1.68,0.96,0.99,1.06
2008-01-06 03:00:00,2.74,1.76,2.04,1.04,0.23
2008-01-06 04:00:00,1.41,0.17,0.64,0.23,0.26
2008-01-06 05:00:00,0.09,0.17,0.25,0.11,0.03
2008-01-06 06:00:00,0,0,0,0,0
2008-01-06 07:00:00,0,0.46,0.04,0.01,0.01
2008-01-06 08:00:00,0,0.1,0.25,0.02,0.01
2008-01-06 09:00:00,0,0.02,0.01,0.01,0.01
2008-01-06 10:00:00,0,0.11,0.03,0.01,0.01
2008-01-06 11:00:00,0,0.01,0.01,0.01,0.01
2008-01-06 12:00:00,0,0,0,0,0
2008-01-06 13:00:00,0,0,0,0,0
2008-01-06 14:00:00,0,0,0,0,0
2008-01-06 15:00:00,0,0,0,0,0
2008-01-06 16:00:00,0,0,0,0,0
2008-01-06 17:00:00,0,0,0,0,0
2008-01-06 18:00:00,0,0,0,0,0
2008-01-06 19:00:00,0,0,0,0,0
2008-01-06 20:00:00,0,0,0,0,0
2008-01-06 21:00:00,0,0,0,0,0
2008-01-06 22:00:00,0,0,0,0,0
2008-01-06 23:00:00,0,0,0,0,0
